,Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,21 July 2023,LoveofLegacy,6," Beautiful film, but so preachy
","Margot does the best with what she's given, but this film was very disappointing to me. It was marketed as a fun, quirky satire with homages to other movies. It started that way, but ended with over-dramatized speeches and an ending that clearly tried to make the audience feel something, but left everyone just feeling confused. And before you say I'm a crotchety old man, I'm a woman in my 20s, so I'm pretty sure I'm this movie's target audience. The saddest part is there were parents with their kids in the theater that were victims of the poor marketing, because this is not a kid's movie. Overall, the humor was fun on occasion and the film is beautiful to look at, but the whole concept falls apart in the second half of the film and becomes a pity party for the ""strong"" woman.",/review/rw9204303/?ref_=tt_urv
1,22 July 2023,imseeg,7," 3 reasons FOR seeing it and 1 reason AGAINST.
",The first reason to go see it:,/review/rw9207325/?ref_=tt_urv
2,22 July 2023,Natcat87,6," Too heavy handed
","As a woman that grew up with Barbie, I was very excited for this movie. I was curious to see how they would evolve the ""stereotypical Barbie"" into something more. But the messaging in this movie was so heavy handed that it completely lost the plot. I consider myself a proponent of gender equality, and this ain't the way to get it.",/review/rw9206938/?ref_=tt_urv
3,31 July 2023,ramair350,10," As a guy I felt some discomfort, and that's ok.
","As much as it pains me to give a movie called ""Barbie"" a 10 out of 10, I have to do so. It is so brilliantly handled and finely crafted, I have to give the filmakers credit. Yes, I am somewhat conservative person and former law enforcement officer. I'm a guy. I like guy things. Hell I even enjoyed the Battleship movie a few years ago (an absolutely ridiculous but fun romp of an action film). But I also like to experience other perspectives. And man oh man does this movie deliver that in spades - pretty much encapsulated everything my wife has tried to convey about her entire career and life experience wrapped up into two hours! The humor, the sets, the acting, and the ability to weave the current narrative into the story was just perfect. I don't agree with some of the points of the movie, but again, that's ok. This movie wasn't designed to give a balanced perspective of men versus women; it is a no-holds-barred unapologetic crazy ride of a rant about the real issues that women have faced since they were ""allowed"" to have ""real jobs"" and do the same things as men. Give me a well done film that is a blast to watch, that makes you think, and that was done from a place of creativity, passion, and attention to detail, and I'll call it what it is: a 10 out of 10 masterpiece.",/review/rw9230034/?ref_=tt_urv
4,24 July 2023,heatherhilgers,9," A Technicolor Dream
","Wow, this movie was a love letter to cinema. From the Kubrick reference at the opening, to the soundstage being 100% real - no cgi for the sets. There were dance sequences like in the olden days (think Grease) and the costuming , wow the costuming. Greta Gerwig dug deep to make this masterpiece using all of her technical chops along the way. The casting director also nailed it, everyone was wonderful.",/review/rw9211546/?ref_=tt_urv
5,21 July 2023,G-Joshua-Benjamin,6," My mom and I saw this yesterday. Here are my thoughts.
",I don't know if I put spoilers in here. I am super worn out. Haha So I will just put that I did.,/review/rw9203627/?ref_=tt_urv
6,21 July 2023,Sleepin_Dragon,8," Well this really did come as a surprise.
","It pains me to say it, but I enjoyed this movie so much more then I was expecting to, musical numbers, humour, there truly is something for the whole family yo enjoy.",/review/rw9205226/?ref_=tt_urv
7,20 July 2023,portraitofaladyonfire,6," Brilliant observations, but social depth is missing
","Greta Gerwig and Noah Baumbach have a knack for incorporating the many little observations of life, whether funny or deeply interpersonal, into a screenplay. Gerwig manages to direct them with great visuals and clever transitions.",/review/rw9202861/?ref_=tt_urv
8,24 July 2023,coxaneesa,8," It was depressing
",I thought this would be so much different. The ending made me feel sad and empty. Ken and Barbie don't end up together and they made Ken seem like a complete idiot. Actually they presented men as being dumb throughout the whole movie. And I'm not a man but that's just not true. It was depressing and sad and never the way Barbie was created for. I know a lot of people won't agree with me and that's okay but it was just pointless going to see it. The only good thing is that the Barbie aesthetic was beautifully done.,/review/rw9212241/?ref_=tt_urv
9,19 July 2023,hamsterination,6," It could have been so much better...
","The film's universe and settings are fantastic. The casting is really good too, with Gosling excelling in the role of Ken.",/review/rw9200202/?ref_=tt_urv
